number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory
3790,11-16-2018,Awarding of Presidential Medal of Freedom,"""And I have heard for many years -- what's the worst trade in the history of sports? Babe Ruth, 19-year-old pitcher, for $100,000 and a 35-year-old third baseman. That was not a good trade -- who was out of baseball the following season. That was not good. Of course, $100,000 is probably like $25 million today, but it was still a lousy deal.""","We're willing to cut Trump a lot of slack when making an impromptu estimate about inflation, but not this much. One hundred thousand dollars in December 1919, when Ruth's contract was sold to the Yankees, would be worth $1.3 million today, according to the U.S. government's inflation calculator.",Value of Ruth's sale today,no,https://factba.se/transcript/donald-trump-remarks-medal-of-freedom-ceremony-november-16-2018,Sports and entertainment,,,,Speeches
3791,11-16-2018,Awarding of Presidential Medal of Freedom,"""They drafted him (Babe Ruth). They took him as a pitcher, but they knew they wanted to make him a hitter.""","Ruth was signed, not drafted: ""The baseball draft did not begin until 1965,"" said Leigh Montville, author of the biography The Big Bam: The Life and Times of Babe Ruth. Montville added: ""The Red Sox bought Ruth's contract from the minor-league Baltimore Orioles, who needed money. The Red Sox thought of him as a pitcher. Period. His success at hitting opened up a second, unforeseen door...Trump is wrong about everything here.""",Babe Ruth drafted,no,https://factba.se/transcript/donald-trump-remarks-medal-of-freedom-ceremony-november-16-2018,Sports and entertainment,,,,Speeches
3792,11-16-2018,Twitter,"""People are not being told that the Republican Party is on track to pick up two seats in the U.S. Senate, and epic victory: 53 to 47. The Fake News Media only wants to speak of the House, where the Midterm results were better than other sitting Presidents.""","While the media's emphasis was cetainly on the Democrats' takeover of the House rather than Republicans retaining the Senate, media outlets were not concealing the fact that Republicans were gaining seats in the Senate. ",People not being told Senate,no,https://twitter.com/realDonaldTrump/status/1063517548258447361,Media,Midterm election,,,Twitter
3793,11-17-2018,Twitter,"""The New York Times did a phony story, as usual, about my relationship with @VP Mike Pence. They made up sources and refused to ask me, the only one that would know, for a quote....""","There is no hint of any evidence that Times journalists invented phony sources. This story was written by Maggie Haberman, known to be one of the best-sourced journalists covering the Trump administration. As for Trump's claim that he was not asked for comment, Haberman said: ""We don't dial presidents directly for comment, we go through the press office at the White House, which I did. I can't speak to whether Sarah Sanders or Hogan Gidley told him about the story ahead of time, but they provided a comment that is in the story.""",Sources made up,Yes,https://twitter.com/realDonaldTrump/status/1063834729584054272,Media,,,,Twitter
3794,11-17-2018,Exchange with reporters before Marine One departure,"""We're not letting people into our country illegally. And we're not doing a release. We'll do a catch, but we're not doing releases. So if they think they're going to be released into our country like in the old days -- like for years and years, they catch and release -- we're not releasing. They don't get released.""","The U.S. government has not stopped the practice of releasing asylum seekers into the U.S. to await the resolution of their applications. ""It is true that everyone caught crossing the border is detained for at least a short period. And many are detained for a long time. But it is not true that none are eventually released into the interior of the United States. It is probably true that a somewhat smaller share are being released into the community than before President Trump took office,"" said Julia Gelatt, senior policy analyst at the Migration Policy Institute. Gelatt said Immigration and Customs Enforcement (ICE) ""does not have the capacity to detain everyone coming across the border seeking asylum as well as everyone that ICE is arresting in the interior of the United States, so some are being released. But ICE detention space is growing, so more are being held now than in the past."" Whether someone is eventually released into the U.S. depends on their characteristics, she said. For example: ""For asylum seekers who are adults not travelling with children, they are most-often transferred to ICE custody. Depending on whether ICE has detention space, whether the migrant is subject to mandatory detention, and whether the migrant has a criminal background or is considered a flight risk, they may be detained by ICE, or released with or without an ankle bracelet pending their immigration court date."" Conversely, ""adults not travelling with children, who are not seeking asylum, as well as unaccompanied minors from Mexico are often removed quickly, through voluntary departure, expedited removal, or reinstatement of a prior removal order. This has not changed."" Gelatt added: ""If a judge had not just blocked the Trump administration's changes to asylum policy, the process for asylum seekers likely would have resulted in more would-be asylum seekers being removed quickly from the United States, and fewer released into the United States awaiting their court dates. But now that the change is under a temporary restraining order, that is less relevant here.""
 
",Ended catch and release,Yes,https://factba.se/transcript/donald-trump-press-gaggle-marine-one-departure-november-17-2018,Immigration,,,,Press conferences or scrums
3795,11-17-2018,Exchange with reporters before Marine One departure,"""And whatever we can do for Turkey and, frankly, countries that we get along with very well -- we're having a good moment with Turkey. As you know, he gave Pastor Brunson back last week, and we appreciate that. We are doing very well with Turkey.""","Brunson was released by Turkey in October, more than a month prior to Trump's remarks, not ""last week.""",Brunson last week,no,https://factba.se/transcript/donald-trump-press-gaggle-marine-one-departure-november-17-2018,Middle East,,,,Press conferences or scrums
3796,11-17-2018,Exchange with reporters before Marine One departure,"""And I don't question his loyalty at all. He's already been tested, in many ways. Mike Pence is a terrific person. That was a phony story written by the New York Times who, by the way, never called me for a comment. How do you do a story like that? See, it's fake news. And that's what breaks up the country. Fake news. How do you do a story like that and you don't call the principal? I would give them a quote. I would say it's not true and that's the end of their story. But they don't do that. They write and then they make up sources. They may speak to one person, but they make up phony sources. They make -- like you write a novel. Have you ever written a novel? That's the way a lot of the news stories -- you look, that's why I call it 'fake news.' It's fake. And it's a very bad thing for our country. It's very dangerous. Mike Pence is 100 percent. They should retract that story. But you can't do that story without calling me for a quote. Or you could call Sarah Huckabee, and say, 'Can I get a quote?' And here she is. 'Can I get a quote from the president' -- I would be happy to give a quote. I would be happy. And you know what the quote would be? 'Mike Pence is 100 percent.' Now you can't do your story. So that's why they don't like calling me for a quote.""","There is no hint of any evidence that Times journalists or journalists for any other paper have invented phony sources in their stories on what is going on in his administration; this particular story, on Trump's private questions about the loyalty of Mike Pence, was written by Maggie Haberman, known to be one of the best-sourced journalists covering the Trump administration. As for Trump's claim that he was not called for comment, Haberman said: ""We don't dial presidents directly for comment, we go through the press office at the White House, which I did. I can't speak to whether Sarah Sanders or Hogan Gidley told him about the story ahead of time, but they provided a comment that is in the story.""",Sources made up,Yes,https://factba.se/transcript/donald-trump-press-gaggle-marine-one-departure-november-17-2018,Media,,,,Press conferences or scrums
3797,11-17-2018,"Remarks on wildfires in Paradise, California","""We're all committed I'm committed, to make sure that we get all of this cleaned out and protected, take care of the floors. You know, the floors of the forests, very important. You look at other countries, where they do it differently, and it's a whole different story. I was with the president of Finland and he said, we have a much different -- we're a forest nation. He called it a forest nation, and they spent a lot of time on raking and cleaning and doing things, and they don't have any problem, and when it is, it's a very small problem.""","Finland does not rake its forests to help prevent forest fires. Finland's president said he did not mention raking in his conversation with Trump. The Associated Press reported: ""Finnish President Sauli Niinisto said in an interview published Sunday in the Ilta-Sanomat newspaper that he spoke briefly with Trump about forest management on Nov. 11, when they both were in Paris for Armistice Day events. Niinisto said their conversation focused on the California wildfires and the surveillance system Finland uses to monitor forests for fires. He remembered telling Trump 'We take care of our forests,' but couldn't recall raking coming up.""",Finland rakes forests,Yes,https://factba.se/transcript/donald-trump-remarks-paradise-fire-damage-tour-november-17-2018,Environment,,,,Informal remarks at events
3798,11-18-2018,Interview with Fox News's Chris Wallace,"""I read a front-page story in the Washington Post, they never even called me, nobody ever calls me. You know, they hear -- I don't even think they have sources, I think they just make it up, like it's fiction."" And: ""The news about me is largely phony. It's false. Even sometimes they'll say, uh, 'Sources say.' There is no source, in many cases.""",There is no hint of any evidence that Washington Post journalists or journalists for any other paper have invented phony sources in their stories on what is going on in his administration.,Sources made up,Yes,https://factba.se/transcript/donald-trump-interview-chris-wallace-fox-news-november-18-2018,Media,,,,Interviews
3799,11-18-2018,Interview with Fox News's Chris Wallace,"""Are you ready? I won the Senate, and that's historic too, because if you look at presidents in the White House it's almost never happened where you won a seat. We won -- we now have 53 as opposed to 51 and we have 53 great Senators in the U.S. Senate. We won. That's a tremendous victory. Nobody talks about that.""","It is not true that it has ""almost never happened"" where the sitting president's party has gained Senate seats in a midterm election. Republicans gained two seats in George W. Bush's first midterm, one seat in Ronald Reagan's, and one seat in Richard Nixon's. Democrats gained four seats in John F. Kennedy's and nine seats in Franklin D. Roosevelt's.",Preisdent almost never gains senators,no,https://factba.se/transcript/donald-trump-interview-chris-wallace-fox-news-november-18-2018,Midterm election,,,,Interviews
3800,11-18-2018,Interview with Fox News's Chris Wallace,"""Look at Florida. I went down to Florida. Rick Scott won and he won by a lot. I don't know what happened to all those votes that disappeared at the very end. And if I didn't put a spotlight on that election before it got down to the 12,500 votes he would've lost that election, OK? In my opinion he would have lost.""","Florida Republican Rick Scott won his Senate race by just over 10,000 votes out of more than 8 million total votes, 50.0 per cent to 49.9 per cent; most people would not describe this as winning by ""a lot."" Regardless, there is simply no basis for the claim that Scott would have lost had Trump not made unfounded allegations of election fraud.",Rick Scott won by a lot,no,https://factba.se/transcript/donald-trump-interview-chris-wallace-fox-news-november-18-2018,Midterm election,Voter fraud,,,Interviews
3801,11-18-2018,Interview with Fox News's Chris Wallace,"Question: ""A federal judge who you appointed has just ruled that you must give CNN reporter Jim Acosta his press pass back. Your reaction to the ruling, sir."" Trump: ""It's fine, I mean it's not a big deal. What they said, though, is that we have to create rules and regulations for conduct et cetera, et cetera, we're doing that. We're going to write them up right now, it's not a big deal.""","The judge in this case, Timothy Kelly, did not say the White House has to ""create rules and regulations for conduct"" of reporters. Kelly said that the White House had not afforded Acosta the due process to which he was entitled. He said nothing to suggest the White House needed to create conduct rules.",Judge said to make media rules,Yes,https://factba.se/transcript/donald-trump-interview-chris-wallace-fox-news-november-18-2018,Media,Courts,,,Interviews
3802,11-18-2018,Interview with Fox News's Chris Wallace,"Question: ""Bill McRaven, retired Admiral, Navy Seal, 37 years, former head of U.S. Special Operations --"" Trump: ""Hillary Clinton fan."" Question: ""Special Operations --"" Trump: ""Excuse me, Hillary Clinton fan."" Question: ""Who led the operations, commanded the operations that took down Saddam Hussein and that killed Osama bin Laden says that your sentiment is the greatest threat to democracy in his lifetime."" Trump: ""He's a Hilary Clinton, uh, backer and an Obama-backer...""","There is no evidence McRaven was a ""Hillary Clinton backer,"" though there were rumours during her campaign that she might consider McRaven as a running mate. McRaven told CNN's Jake Tapper: ""I did not back Hillary Clinton or anyone else. I am a fan of President Obama and President George W. Bush, both of whom I worked for. I admire all presidents, regardless of their political party, who uphold the dignity of the office and who use that office to bring the Nation together in challenging times. I stand by my comment that the President's attack on the media is the greatest threat to our democracy in my lifetime...""",McRaven is a Clinton backer,no,https://factba.se/transcript/donald-trump-interview-chris-wallace-fox-news-november-18-2018,Military,Hillary Clinton,,,Interviews
3803,11-18-2018,Twitter,"""So funny to see little Adam Schitt (D-CA) talking about the fact that Acting Attorney General Matt Whitaker was not approved by the Senate, but not mentioning the fact that Bob Mueller (who is highly conflicted) was not approved by the Senate!""","Trump's claim about Mueller is so nonsensical and misleading that we're calling it false. Mueller was not approved by the Senate in his role as special counsel because special counsels do not require Senate approval. Mueller was approved by the Senate 98-0 in 2001 to serve as FBI director, then approved 100-0 in 2011 for a two-year extension in that role.",Mueller not confirmed,Yes,https://twitter.com/realDonaldTrump/status/1064216956679716864,Robert Mueller,,,,Twitter
3804,11-18-2018,Twitter,"Catch and Release is an obsolete term. It is now Catch and Detain. Illegal Immigrants trying to come into the U.S.A., often proudly flying the flag of their nation as they ask for U.S. Asylum, will be detained or turned away. Dems must approve Border Security & Wall NOW!","The U.S. government has not stopped the practice of releasing asylum seekers into the U.S. to await the resolution of their applications. ""It is true that everyone caught crossing the border is detained for at least a short period. And many are detained for a long time. But it is not true that none are eventually released into the interior of the United States. It is probably true that a somewhat smaller share are being released into the community than before President Trump took office,"" said Julia Gelatt, senior policy analyst at the Migration Policy Institute. Gelatt said Immigration and Customs Enforcement (ICE) ""does not have the capacity to detain everyone coming across the border seeking asylum as well as everyone that ICE is arresting in the interior of the United States, so some are being released. But ICE detention space is growing, so more are being held now than in the past."" Whether someone is eventually released into the U.S. depends on their characteristics, she said. For example: ""For asylum seekers who are adults not travelling with children, they are most-often transferred to ICE custody. Depending on whether ICE has detention space, whether the migrant is subject to mandatory detention, and whether the migrant has a criminal background or is considered a flight risk, they may be detained by ICE, or released with or without an ankle bracelet pending their immigration court date."" Conversely, ""adults not travelling with children, who are not seeking asylum, as well as unaccompanied minors from Mexico are often removed quickly, through voluntary departure, expedited removal, or reinstatement of a prior removal order. This has not changed."" Gelatt added: ""If a judge had not just blocked the Trump administration's changes to asylum policy, the process for asylum seekers likely would have resulted in more would-be asylum seekers being removed quickly from the United States, and fewer released into the United States awaiting their court dates. But now that the change is under a temporary restraining order, that is less relevant here.""",Ended catch and release,Yes,https://twitter.com/realDonaldTrump/status/1064245710747590657,Immigration,,,,Twitter
3805,11-19-2018,Twitter,"""Of course we should have captured Osama Bin Laden long before we did. I pointed him out in my book just BEFORE the attack on the World Trade Center. President Clinton famously missed his shot.""","This claim is so misleading that we're calling it false. Trump mentioned bin Laden only in passing in his 2000 book -- one brief mention in 304 pages, the New York Times reported. It was this: ""One day we're all assured that Iraq is under control, the U.N. inspectors have done their work, everything's fine, not to worry. The next day the bombing begins. One day we're told that a shadowy figure with no fixed address named Osama bin Laden is public enemy number one, and U.S. jet fighters lay waste to his camp in Afghanistan. He escapes back under some rock, and a few news cycles later it's on to a new enemy and new crisis."" Trump did not suggest bin Laden was an imminent threat for a major attack or ""point him out"" in any prescient way.",Pointed out bin Laden,no,https://twitter.com/realDonaldTrump/status/1064540462848098304,Terrorism,,,,Twitter
3806,11-20-2018,Written statement on Saudi Arabia and Khashoggi,"""...propping up dictator Bashar Assad in Syria (who has killed millions of his own citizens), and much more.""","The exact death toll in Syria's war is highly unclear, but experts agree that ""millions"" is far too high. As of September 2018, the Syrian Observatory for Human Rights said it had documented 364,792 deaths in the war, since 2011, and believed the total was at least 100,000 higher.",Syria millions,Yes,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-standing-saudi-arabia/,Middle East,Syria,Exaggeration,,Statements
3807,11-20-2018,Written statement on Saudi Arabia and Khashoggi,"""After my heavily negotiated trip to Saudi Arabia last year, the Kingdom agreed to spend and invest $450 billion in the United States. This is a record amount of money. It will create hundreds of thousands of jobs, tremendous economic development, and much additional wealth for the United States. Of the $450 billion, $110 billion will be spent on the purchase of military equipment from Boeing, Lockheed Martin, Raytheon and many other great U.S. defense contractors.""","There is no basis for either the claim that the U.S. has more than $400 billion in business orders from Saudi Arabia or that it has $110 billion in military-related orders from Saudi Arabia. The White House has not explained what Trump is talking about; PolitiFact reported: ""Hossein Askari, a business professor at George Washington University, analyzes international trade in the Middle East. He knows of no tally of contracts to back up Trump's assertion. 'There is absolutely no such number that could support the $450 billion,' Askari said."" As for the $110 billion figure, the Associated Press wrote: ""Trump's wrong to suggest that he has $110 billion in military orders from Saudi Arabia. A far smaller amount in sales has actually been signed...Details of the $110 billion arms package, partly negotiated under the Obama administration and agreed upon in May 2017, have been sketchy. At the time the Trump administration provided only a broad description of the defense equipment that would be sold. There was no public breakdown of exactly what was being offered for sale and for how much...The Pentagon said this month that Saudi Arabia has signed 'letters of offer and acceptance' for only $14.5 billion in sales, including helicopters, tanks, ships, weapons and training. Those letters, issued after the U.S. government has approved a proposed sale, specify its terms...Trump's repeated claims that he's signed $110 billion worth of new arms sales to Riyadh are 'just not true,' said Bruce Riedel, a senior fellow at Brookings Institution and former CIA and Defense Department official.""",Saudi deal 110 billion,Yes,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-standing-saudi-arabia/,Saudi Arabia,Jobs,Military,,Statements
3808,11-20-2018,Written statement on Saudi Arabia and Khashoggi,"""After my heavily negotiated trip to Saudi Arabia last year, the Kingdom agreed to spend and invest $450 billion in the United States. This is a record amount of money. It will create hundreds of thousands of jobs, tremendous economic development, and much additional wealth for the United States.""","†There is no basis for the claim that Saudi Arabia's business deals with the U.S. will produce ""hundreds of thousands of jobs."" (The White House did not respond to a request for an explanation from U.S. website Axios on a previous version of this claim.) Trump has increased his jobs estimates from ""over 40,000"" jobs in March to 450,000 jobs on Oct. 13 to 500,000 jobs on Oct. 17 to 600,000 jobs on Oct. 19, the day he also introduced a claim of ""over a million jobs."" Reuters has reported: ""An internal document seen by Reuters from Lockheed Martin forecasts fewer than 1,000 positions would be created by the defense contractor, which could potentially deliver around $28 billion of goods in the deal. Lockheed instead predicts the deal could create nearly 10,000 new jobs in Saudi Arabia, while keeping up to 18,000 existing U.S. workers busy if the whole package comes together -- an outcome experts say is unlikely.""","Saudi 500,000 jobs",Yes,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-standing-saudi-arabia/,Saudi Arabia,Jobs,Military,,Statements
3809,11-20-2018,Written statement on Saudi Arabia and Khashoggi,"""After the United States, Saudi Arabia is the largest oil producing nation in the world.""","Russia, not Saudi Arabia, is the world's second-largest oil producer, according to the U.S. Energy Information Administration.",Saudi second largest oil,no,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-standing-saudi-arabia/,Energy,Saudi Arabia,,,Statements
3810,11-20-2018,Exchange with reporters before Marine One departure ,"""It's 'America First' for me. It's all about 'America First.' We're not going to give up hundreds of billions of dollars in orders (from Saudi Arabia), and let Russia, China, and everybody else have them."" And: ""They're paying us $400 billion-plus to purchase and invest in our country. That's probably the biggest amount ever paid to the United States -- this is over a long period of time. It means hundreds of thousands of jobs, billions of dollars of investment and product. And if you think I'm going to let Russia have that money or -- or those -- or those things; if you think I'm going to let China make the military equipment -- hey, China and Russia would love to make $100 billion worth of military equipment from Saudi Arabia. We have the contracts. They wanted those contracts."" And: ""Wait, wait, wait, wait. They're buying hundreds of billions of dollars' worth of things from this country. If I say we don't want to take your business, if I say we're going to cut it off, they will get the equipment -- military equipment and other things -- from Russia and China. Russia and China would be very, very happy because right now we're doing very well against China. We're doing very well against everybody, including Russia. And I'm going to keep it that way. And I'm not going to tell a country that is spending hundreds of billions of dollars...""","There is no basis for either the claim that the U.S. has more than $400 billion in business orders from Saudi Arabia or that it has $110 billion in military-related orders from Saudi Arabia. The White House has not explained what Trump is talking about; PolitiFact reported: ""Hossein Askari, a business professor at George Washington University, analyzes international trade in the Middle East. He knows of no tally of contracts to back up Trump's assertion. 'There is absolutely no such number that could support the $450 billion,' Askari said."" As for the $110 billion figure, the Associated Press wrote: ""Trump's wrong to suggest that he has $110 billion in military orders from Saudi Arabia. A far smaller amount in sales has actually been signed...Details of the $110 billion arms package, partly negotiated under the Obama administration and agreed upon in May 2017, have been sketchy. At the time the Trump administration provided only a broad description of the defense equipment that would be sold. There was no public breakdown of exactly what was being offered for sale and for how much...The Pentagon said this month that Saudi Arabia has signed 'letters of offer and acceptance' for only $14.5 billion in sales, including helicopters, tanks, ships, weapons and training. Those letters, issued after the U.S. government has approved a proposed sale, specify its terms...Trump's repeated claims that he's signed $110 billion worth of new arms sales to Riyadh are 'just not true,' said Bruce Riedel, a senior fellow at Brookings Institution and former CIA and Defense Department official.""",Saudi deal 110 billion,Yes,https://factba.se/transcript/donald-trump-press-gaggle-marine-one-departure-november-20-2018,Saudi Arabia,Jobs,Military,,Press conferences or scrums
3811,11-20-2018,Exchange with reporters before Marine One departure ,"""They're (Saudi Arabia) paying us $400 billion-plus to purchase and invest in our country. That's probably the biggest amount ever paid to the United States -- this is over a long period of time. It means hundreds of thousands of jobs, billions of dollars of investment and product.""","There is no basis for the claim that Saudi Arabia's business deals with the U.S. will produce ""hundreds of thousands of jobs."" (The White House did not respond to a request for an explanation from U.S. website Axios on a previous version of this claim.) Trump has increased his jobs estimates from ""over 40,000"" jobs in March to 450,000 jobs on Oct. 13 to 500,000 jobs on Oct. 17 to 600,000 jobs on Oct. 19, the day he also introduced a claim of ""over a million jobs."" Reuters has reported: ""An internal document seen by Reuters from Lockheed Martin forecasts fewer than 1,000 positions would be created by the defense contractor, which could potentially deliver around $28 billion of goods in the deal. Lockheed instead predicts the deal could create nearly 10,000 new jobs in Saudi Arabia, while keeping up to 18,000 existing U.S. workers busy if the whole package comes together -- an outcome experts say is unlikely.""","Saudi 500,000 jobs",Yes,https://factba.se/transcript/donald-trump-press-gaggle-marine-one-departure-november-20-2018,Saudi Arabia,Jobs,Military,,Press conferences or scrums
3812,11-20-2018,Exchange with reporters before Marine One departure ,"""Well, I have nothing to do with Saudi -- just so you understand, I don't make deals with Saudi Arabia. I don't have money from Saudi Arabia. I have nothing to do with Saudi Arabia. I couldn't care less.""","The Washington Post reported: ""Trump's business relationships with the Saudi government -- and rich Saudi business executives -- go back to at least the 1990s. In Trump's hard times, a Saudi prince bought a superyacht and hotel from him. The Saudi government paid him $4.5†million for an apartment near the United Nations. Business from Saudi-connected customers continued to be important after Trump won the presidency. Saudi lobbyists spent $270,000 last year to reserve rooms at Trump's hotel in Washington. Just this year, Trump's hotels in New York and Chicago†reported significant upticks†in bookings from Saudi visitors."" Trump, during his campaign, himself acknowledged his lucrative relationships with Saudis, saying in 2015, ""Saudi Arabia, I get along with all of them. They buy apartments from me. They spend $40†million, $50†million. Am I supposed to dislike them? I like them very much.""",No business with Saudi,Yes,https://factba.se/transcript/donald-trump-press-gaggle-marine-one-departure-november-20-2018,Saudi Arabia,,,,Press conferences or scrums
3813,11-20-2018,Exchange with reporters before Marine One departure ,"""...early on and for a little period of time, Ivanka did some emails. They weren't classified like Hillary Clinton. They weren't deleted like Hillary Clinton, who deleted 33- -- she wasn't hiring -- she wasn't doing anything to hide her emails. I looked at it just very briefly today, and the presidential records -- they're all in presidential records. There was no hiding. There was no deleting like Hillary Clinton did. There was no servers in the basement like Hillary Clinton had. You're talking about a whole different -- you're talking about all fake news. So what Ivanka did, it's all in the presidential records. Everything is there. There was no deletion. There was no nothing. What it is is a false story. Hillary Clinton deleted 33,000 emails. She had a server in the basement. That's the real story.""","There was nothing false or fake about the story on Ivanka Trump using a private email account to conduct government business. Trump could make a reasonable case that it would be unfair to liken Ivanka Trump's email situation to Hillary Clinton's, but that is different from saying the story is inaccurate.",Ivanka story fake news,no,https://factba.se/transcript/donald-trump-press-gaggle-marine-one-departure-november-20-2018,Trump White House,Media,,,Press conferences or scrums
3814,11-20-2018,Exchange with reporters before Marine One departure ,"""Well, you go the 9th Circuit and it's a disgrace. And I'm going to put in a major complaint because you cannot win -- if you're us -- a case in the 9th Circuit and I think it's a disgrace. When people file -- every case gets filed in the 9th Circuit because they know -- that's not law. That's not what this country stands for. Every case that gets filed in the 9th Circuit, we get beaten. And then we end up having to go to the Supreme Court, like the travel ban, and we won. The 9th Circuit -- we're going to have to look at that. Because every case, no matter where it is, they file it -- practically, I mean practically -- for all intents and purposes -- they file it in what's called the 9th Circuit...Everybody that wants to sue the United States, they file their case in -- almost -- they file their case in the 9th Circuit.""","It is an exaggeration to claim that ""everybody"" suing the Trump administration files in the 9th Circuit, which Trump accuses of being excessively liberal. Though the 9th Circuit is indeed a favourite of anti-Trump litigants, numerous suits have been heard in areas covered by other circuits. For example, the 4th Circuit ruled against Trump's travel ban in February, while the D.C. Circuit ruled in favour of Trump in December, deciding that a privacy group didn't have the standing to sue Trump's voter fraud commission over its collection of information on voters.",Every case 9th circuit,Yes,https://factba.se/transcript/donald-trump-press-gaggle-marine-one-departure-november-20-2018,Courts,,,,Press conferences or scrums
3815,11-20-2018,Exchange with reporters before Marine One departure ,"""I mean, as a country, we're doing great. Our unemployment is at a record low.""","The U.S. unemployment rate, 3.7 per cent, is the lowest in 49 years, but not at a record low. The unemployment rate hit 2.5 per cent in 1953.",Record unemployment,Yes,https://factba.se/transcript/donald-trump-press-gaggle-marine-one-departure-november-20-2018,Jobs,Economy,Exaggeration,,Press conferences or scrums
3816,11-20-2018,Exchange with reporters before Marine One departure ,"""And, by the way, just so everybody knows, I have no business whatsoever with Saudi Arabia. Couldn't care less.""","Trump has a long history of business ties to Saudi Arabia, and Saudis have continued to be important patrons of his hotels during his presidency. The Washington Post  reported: ""Trump's business relationships with the Saudi government -- and rich Saudi business executives -- go back to at least the 1990s. In Trump's hard times, a Saudi prince bought a superyacht and hotel from him. The Saudi government paid him $4.5†million for an apartment near the United Nations. Business from Saudi-connected customers continued to be important after Trump won the presidency. Saudi lobbyists spent $270,000 last year to reserve rooms at Trump's hotel in Washington. Just this year, Trump's hotels in New York and Chicago†reported significant upticks†in bookings from Saudi visitors."" Trump, during his campaign, himself acknowledged his lucrative relationships with Saudis, saying in 2015, ""Saudi Arabia, I get along with all of them. They buy apartments from me. They spend $40†million, $50†million. Am I supposed to dislike them? I like them very much.""",No business with Saudi,Yes,https://factba.se/transcript/donald-trump-press-gaggle-marine-one-departure-november-20-2018,Saudi Arabia,,,,Press conferences or scrums
3817,11-21-2018,Twitter,"""You just can't win with the Fake News Media. A big story today is that because I have pushed so hard and gotten Gasoline Prices so low, more people are driving and I have caused traffic jams throughout our Great Nation. Sorry everyone!""","We could find no evidence of any significant media outlet running a story blaming (or perhaps crediting) Trump for Thanksgiving traffic jams. Trump later told the Washington Post that the media outlet was the Palm Beach Post in Florida, but the Palm Beach story on gas prices and traffic volumes did not mention Trump at all. And even if it did, that would not make this a ""big story today.""",Thanksgiving traffic jams,Yes,https://twitter.com/realDonaldTrump/status/1065403512559992832,Energy,,,,Twitter
3818,11-22-2018,Twitter,"""Justice Roberts can say what he wants, but the 9th Circuit is a complete & total disaster. It is out of control, has a horrible reputation, is overturned more than any Circuit in the Country, 79%, & is used to get an almost guaranteed result.""","The 9th Circuit is not overturned more than any court in the country. The Associated Press reported: ""In the last term, the Supreme Court overturned 100 per cent of the decisions of the 1st Circuit in Boston, the 3rd Circuit in Philadelphia and the 6th Circuit in Cincinnati. For the 9th Circuit, 86 per cent were overturned. Over the past five years, the Supreme Court overturned a greater percentage of rulings from the 3rd Circuit (92.3 per cent), the 6th Circuit (85.1 per cent) and the Atlanta-based 11th Circuit (81.8 per cent) than from the 9th (77.4 per cent), according to The Associated Press' analysis of statistics from the legal website Scotusblog. The 9th is by far the largest of the 13 federal courts of appeals, covering Alaska, Arizona, California, Hawaii, Idaho, Montana, Nevada, Oregon and Washington. That means that in raw numbers, more cases are heard and reversed from the 9th year in and year out. But that does not make it the most frequently overturned."" It is also important to note that these overturn percentages are only for the cases the Supreme Court chose to take up. It does not take up the vast majority of cases.",9th Circuit most overturned,no,https://twitter.com/realDonaldTrump/status/1065581119242940416,Courts,,,,Twitter
3819,11-22-2018,Thanksgiving phone call to the troops and exchange with reporters,"""Right now, under the Democrats, they don't have a merit system. They want open borders, and people can just flow in."" And: ""I mean, the Democrats want open borders, and they want these people coming in. Many of those people are criminals, okay?""","Democrats do not support ""open borders.""",Open borders,Yes,https://factba.se/transcript/donald-trump-remarks-call-troops-thanksgiving-november-22-2018,Immigration,Exaggeration,Democrats,,Informal remarks at events
3820,11-22-2018,Thanksgiving phone call to the troops and exchange with reporters,"""But we're getting hurt by the Ninth Circuit, very, very badly. Everybody files in the Ninth Circuit. I haven't seen anybody file anyplace else. They automatically go to the Ninth Circuit. They could go anyplace in the country. And I think we're going to have to stop that somehow.""","It is an exaggeration to claim that ""everybody"" suing the Trump administration files in the 9th Circuit, which Trump accuses of being excessively liberal. Though the 9th Circuit is indeed a favourite of anti-Trump litigants, numerous suits have been heard in areas covered by other circuits. For example, the 4th Circuit ruled against Trump's travel ban in February, while the D.C. Circuit ruled in favour of Trump in December, deciding that a privacy group didn't have the standing to sue Trump's voter fraud commission over its collection of information on voters.",Every case 9th circuit,Yes,https://factba.se/transcript/donald-trump-remarks-call-troops-thanksgiving-november-22-2018,Courts,,,,Informal remarks at events
3821,11-22-2018,Thanksgiving phone call to the troops and exchange with reporters,"""No, not at all. Saudi Arabia has been a long-time strategic partner. They're investing hundreds of billions of dollars in our country. I mean, hundreds of billions.""",Saudi Arabia is not investing hundreds of billions in the U.S. This appears to be a reference to his usual false claim that Saudi Arabia has agreed to $450 billion worth of purchases from the U.S.,Saudi deal 110 billion,Yes,https://factba.se/transcript/donald-trump-remarks-call-troops-thanksgiving-november-22-2018,Saudi Arabia,Jobs,Military,,Informal remarks at events
